"","sample_id","project","s_project","organ","marker","type","control_type","code","nb_reads","nb_motus","low_contamination_level","seqdepth_ok","nb_reads_postmetabaR","nb_motus_postmetabaR","name","family"
"DRYER_natura_root_16S_65_NA","DRYER_natura_root_16S_65_NA","DRYER","natura","root","16S","sample",NA,"65",22026,904,TRUE,TRUE,20760,797,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_root_16S_66_NA","DRYER_natura_root_16S_66_NA","DRYER","natura","root","16S","sample",NA,"66",13593,558,TRUE,TRUE,13099,433,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_root_16S_67_NA","DRYER_natura_root_16S_67_NA","DRYER","natura","root","16S","sample",NA,"67",15627,723,TRUE,TRUE,14541,627,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_root_16S_68_NA","DRYER_natura_root_16S_68_NA","DRYER","natura","root","16S","sample",NA,"68",25868,835,TRUE,TRUE,24215,759,"Virola_surinamensis","Myristicaceae"
"DRYER_natura_root_16S_69_NA","DRYER_natura_root_16S_69_NA","DRYER","natura","root","16S","sample",NA,"69",24172,522,TRUE,TRUE,9165,407,"Tachigali_melinonii","Fabaceae"
"DRYER_natura_root_16S_7_NA","DRYER_natura_root_16S_7_NA","DRYER","natura","root","16S","sample",NA,"7",7764,469,TRUE,TRUE,7480,404,"Iryanthera_hostmannii","Myristicaceae"
"DRYER_natura_root_16S_70_NA","DRYER_natura_root_16S_70_NA","DRYER","natura","root","16S","sample",NA,"70",15815,693,TRUE,TRUE,14885,583,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_root_16S_71_NA","DRYER_natura_root_16S_71_NA","DRYER","natura","root","16S","sample",NA,"71",21220,740,TRUE,TRUE,19394,642,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_root_16S_72_NA","DRYER_natura_root_16S_72_NA","DRYER","natura","root","16S","sample",NA,"72",15338,617,TRUE,TRUE,14170,497,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_root_16S_8_NA","DRYER_natura_root_16S_8_NA","DRYER","natura","root","16S","sample",NA,"8",10309,391,TRUE,TRUE,9852,325,"Symphonia_globulifera","Clusiaceae"
"DRYER_natura_root_16S_9_NA","DRYER_natura_root_16S_9_NA","DRYER","natura","root","16S","sample",NA,"9",8168,347,TRUE,TRUE,7853,266,"Iryanthera_hostmannii","Myristicaceae"
