"","sample_id","project","s_project","organ","marker","type","control_type","code","nb_reads","nb_motus","low_contamination_level","seqdepth_ok","nb_reads_postmetabaR","nb_motus_postmetabaR","name","family"
"DRYER_natura_leaf_16S_28_NA","DRYER_natura_leaf_16S_28_NA","DRYER","natura","leaf","16S","sample",NA,"28",15614,577,TRUE,TRUE,15191,526,"Eperua_falcata","Fabaceae"
"DRYER_natura_leaf_16S_29_NA","DRYER_natura_leaf_16S_29_NA","DRYER","natura","leaf","16S","sample",NA,"29",8161,552,TRUE,TRUE,7780,498,"Iryanthera_hostmannii","Myristicaceae"
"DRYER_natura_leaf_16S_30_NA","DRYER_natura_leaf_16S_30_NA","DRYER","natura","leaf","16S","sample",NA,"30",16519,768,TRUE,TRUE,15809,709,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_leaf_16S_31_NA","DRYER_natura_leaf_16S_31_NA","DRYER","natura","leaf","16S","sample",NA,"31",8743,470,TRUE,TRUE,8230,408,"Iryanthera_hostmannii","Myristicaceae"
"DRYER_natura_leaf_16S_32_NA","DRYER_natura_leaf_16S_32_NA","DRYER","natura","leaf","16S","sample",NA,"32",9820,526,TRUE,TRUE,9476,483,"Iryanthera_hostmannii","Myristicaceae"
"DRYER_natura_leaf_16S_33_NA","DRYER_natura_leaf_16S_33_NA","DRYER","natura","leaf","16S","sample",NA,"33",10025,560,TRUE,TRUE,9563,509,"Iryanthera_hostmannii","Myristicaceae"
"DRYER_natura_leaf_16S_34_NA","DRYER_natura_leaf_16S_34_NA","DRYER","natura","leaf","16S","sample",NA,"34",18994,843,TRUE,TRUE,18168,783,"Iryanthera_hostmannii","Myristicaceae"
"DRYER_natura_leaf_16S_35_NA","DRYER_natura_leaf_16S_35_NA","DRYER","natura","leaf","16S","sample",NA,"35",8831,596,TRUE,TRUE,8207,537,"Jacaranda_copaia","Bignoniaceae"
"DRYER_natura_leaf_16S_36_NA","DRYER_natura_leaf_16S_36_NA","DRYER","natura","leaf","16S","sample",NA,"36",5049,330,TRUE,TRUE,4696,272,"Eperua_falcata","Fabaceae"
"DRYER_natura_leaf_16S_37_NA","DRYER_natura_leaf_16S_37_NA","DRYER","natura","leaf","16S","sample",NA,"37",15181,711,TRUE,TRUE,14740,651,"Tachigali_melinonii","Fabaceae"
"DRYER_natura_leaf_16S_38_NA","DRYER_natura_leaf_16S_38_NA","DRYER","natura","leaf","16S","sample",NA,"38",11353,576,TRUE,TRUE,10732,526,"Iryanthera_hostmannii","Myristicaceae"
"DRYER_natura_leaf_16S_39_NA","DRYER_natura_leaf_16S_39_NA","DRYER","natura","leaf","16S","sample",NA,"39",12690,560,TRUE,TRUE,12214,510,"Iryanthera_hostmannii","Myristicaceae"
"DRYER_natura_leaf_16S_40_NA","DRYER_natura_leaf_16S_40_NA","DRYER","natura","leaf","16S","sample",NA,"40",20568,729,TRUE,TRUE,19682,666,"Tachigali_melinonii","Fabaceae"
"DRYER_natura_leaf_16S_41_NA","DRYER_natura_leaf_16S_41_NA","DRYER","natura","leaf","16S","sample",NA,"41",10967,629,TRUE,TRUE,10527,559,"Tachigali_melinonii","Fabaceae"
